Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,k,kmeans_n_init
Creditcard Fraud,1,K-Means,Logistic Regression,400,0.7876106194690266,0.5117036213552195,0.8935942242272924,10.0,38.0,0.9478339139497328,0.9993317271336369,0.898989898989899,0.9491608130617679,56825.0,89.0,,400.0,1000.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,400,0.7044534412955465,2.1531363131754855,0.8519056354678336,12.0,61.0,0.9369339121523734,0.9989272461882067,0.8787878787878788,0.9388575624880428,56802.0,87.0,0.5887487700812218,400.0,
Creditcard Fraud,1,No Oversampling,Logistic Regression,400,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0,,,
Creditcard Fraud,1,SMOTE,Logistic Regression,400,0.1447067783701447,1.075103302863356,0.5673671977828115,4.0,1119.0,0.9699031850901276,0.9803211226984155,0.9595959595959596,0.9699585411471876,55744.0,95.0,,400.0,
Creditcard Fraud,2,K-Means,Logistic Regression,400,0.8777777777777778,0.6947710384504813,0.9387921804910833,20.0,2.0,0.893281440101585,0.9999648277438756,0.797979797979798,0.8989723128618368,56861.0,79.0,,400.0,1000.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,400,0.007737580771288636,5.039215729043923,0.36937248904787773,5.0,24104.0,0.7395997627967764,0.5761039691891037,0.9494949494949495,0.7627994593420265,32759.0,94.0,0.5872544414052352,400.0,
Creditcard Fraud,2,No Oversampling,Logistic Regression,400,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,,,
Creditcard Fraud,2,SMOTE,Logistic Regression,400,0.2939189189189189,1.1950618835511406,0.6451153201166437,12.0,406.0,0.9340842368119056,0.9928600320067531,0.8787878787878788,0.935823955397316,56457.0,87.0,,400.0,
Creditcard Fraud,3,K-Means,Logistic Regression,400,0.7165775401069518,0.5287748707739404,0.85805577229553,31.0,22.0,0.8266855264643727,0.9996131051826319,0.6836734693877551,0.8416432872851936,56841.0,67.0,,400.0,1000.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,400,0.0050582603197543135,7.055129316314446,0.2978121840943826,14.0,33031.0,0.599365810534994,0.41911260397798217,0.8571428571428571,0.6381277305604196,23832.0,84.0,0.5877746181441242,400.0,
Creditcard Fraud,3,No Oversampling,Logistic Regression,400,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,,,
Creditcard Fraud,3,SMOTE,Logistic Regression,400,0.1927144535840188,1.2733714894523906,0.5933193125611279,16.0,671.0,0.9093189650623515,0.9881997080702741,0.8367346938775511,0.9124672009739128,56192.0,82.0,,400.0,
Creditcard Fraud,4,K-Means,Logistic Regression,400,0.9010989010989011,0.5609115710460189,0.9504703227140365,16.0,2.0,0.9147159471828343,0.9999648277438756,0.8367346938775511,0.9183497608107134,56861.0,82.0,,400.0,1000.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,400,0.7961165048543689,2.500056106165327,0.897873581844329,16.0,26.0,0.9145228842774004,0.9995427606703832,0.8367346938775511,0.9181387272739672,56837.0,82.0,0.5884909693338397,400.0,
Creditcard Fraud,4,No Oversampling,Logistic Regression,400,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0,,,
Creditcard Fraud,4,SMOTE,Logistic Regression,400,0.25470332850940663,1.1279845361274576,0.6250775520416167,10.0,505.0,0.9433898520485196,0.9911190053285968,0.8979591836734694,0.944539094501033,56358.0,88.0,,400.0,
Creditcard Fraud,5,K-Means,Logistic Regression,400,0.8235294117647058,0.6168626328126536,0.9116328400690046,28.0,2.0,0.8451393916068671,0.9999648277438756,0.7142857142857143,0.857125271014795,56861.0,70.0,,400.0,1000.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,400,0.0008583690987124463,6.85879007150767,0.48999832929091475,97.0,2231.0,0.09901377704041413,0.9607653482932663,0.01020408163265306,0.48548471496295964,54632.0,1.0,0.5913575607887774,400.0,
Creditcard Fraud,5,No Oversampling,Logistic Regression,400,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0,,,
Creditcard Fraud,5,SMOTE,Logistic Regression,400,0.4474393530997305,1.155809353970405,0.7228169984580827,15.0,190.0,0.9187539629816479,0.9966586356681849,0.8469387755102041,0.9217987055891945,56673.0,83.0,,400.0,
