Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score
MNIST Imbalanced 1+7,Autoencoder Clustering,Logistic Regression,0.6606619122595783,0.7582526358433725,0.933920704845815,0.9545454545454546,0.9442330796956349
MNIST Imbalanced 1+7,K-Means,Logistic Regression,0.9881519256960872,0.9883534740307645,1.0,0.9545454545454546,0.9772727272727273
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Logistic Regression,0.9881519256960872,0.9883534740307645,1.0,0.9545454545454546,0.9772727272727273
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9757503353454058,0.9765786833031826,1.0,0.9090909090909091,0.9545454545454546
MNIST Imbalanced 1+7,SMOTE,Logistic Regression,0.9881519256960872,0.9883534740307645,1.0,0.9545454545454546,0.9772727272727273
MNIST Imbalanced 7+8,Autoencoder Clustering,Logistic Regression,0.804947379107306,0.8318060546152274,0.980544747081712,0.9,0.940272373540856
MNIST Imbalanced 7+8,K-Means,Logistic Regression,0.9757036212732415,0.9765331066499718,0.9980544747081712,1.0,0.9990272373540856
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Logistic Regression,0.951407242546483,0.9522019928973146,0.9970817120622568,0.95,0.9735408560311284
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.9587309504745152,0.9610693103021528,1.0,0.85,0.925
MNIST Imbalanced 7+8,SMOTE,Logistic Regression,0.9643856409791682,0.9661359253697006,0.9970817120622568,1.0,0.9985408560311284
