,,,Balanced F-Measure,G-Measure / Fowlkes-Mallows Score,ROC AUC Score
Ecoli,Autoencoder Clustering,Gradient Boosting,0.6158456486042694,0.5643052860403645,0.7842261904761905
Ecoli,Autoencoder Clustering,Logistic Regression,0.05,0.532101992216231,0.46428571428571425
Ecoli,Autoencoder Clustering,Random Forest,0.31759030066060195,0.5006106314094133,0.5610119047619047
Ecoli,Autoencoder Clustering,Support Vector,0.05,0.532101992216231,0.46428571428571425
Ecoli,K-Means,Gradient Boosting,0.7945212647040636,0.8276314807362284,0.9107142857142857
Ecoli,K-Means,Logistic Regression,0.47759139646732446,0.6465247402866733,0.8139880952380953
Ecoli,K-Means,Random Forest,0.8005372405372405,0.8012804007279125,0.9107142857142857
Ecoli,K-Means,Support Vector,0.46436332279390624,0.709115462741614,0.836309523809524
Ecoli,K-Means on Autoencoder Encoding,Gradient Boosting,0.35354415699243286,0.6837844539978011,0.5684523809523809
Ecoli,K-Means on Autoencoder Encoding,Logistic Regression,0.05,0.532101992216231,0.46428571428571425
Ecoli,K-Means on Autoencoder Encoding,Random Forest,0.3231241876403167,0.6014396794498653,0.7430555555555556
Ecoli,K-Means on Autoencoder Encoding,Support Vector,0.05,0.532101992216231,0.46428571428571425
Ecoli,No Clustering,Gradient Boosting,0.8100658149438636,0.7532501706445591,0.8958333333333335
Ecoli,No Clustering,Logistic Regression,0.4248484848484848,0.6273301931200386,0.7991071428571429
Ecoli,No Clustering,Random Forest,0.7822241370120987,0.7190949478409121,0.8883928571428572
Ecoli,No Clustering,Support Vector,0.44813949768037115,0.6667093893855843,0.8214285714285715
Ecoli,No Oversampling,Gradient Boosting,0.8518569254185693,0.8327444787261927,0.9330357142857142
Ecoli,No Oversampling,Logistic Regression,0.5284353741496599,0.7461394718241038,0.8586309523809523
Ecoli,No Oversampling,Random Forest,0.7941816174090739,0.7703381426891612,0.9032738095238095
Ecoli,No Oversampling,Support Vector,0.5017277676950999,0.7753043375523845,0.8660714285714285
Ecoli,Random Clustering,Gradient Boosting,0.8052380952380952,0.7677488735548547,0.9032738095238095
Ecoli,Random Clustering,Logistic Regression,0.47154046539676536,0.6316315293586929,0.8065476190476191
Ecoli,Random Clustering,Random Forest,0.8001434386509014,0.7386160958462108,0.8958333333333335
Ecoli,Random Clustering,Support Vector,0.4556075061603589,0.6939137236201536,0.8288690476190477
MNIST Imbalanced 1+7,No Oversampling,Gradient Boosting,0.9919854694953553,29.243328850174088,0.9955947136563876
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9866424491589254,29.12545704688203,0.9926578560939796
MNIST Imbalanced 1+7,No Oversampling,Random Forest,0.9946760480797421,34.89996729426785,0.9970631424375918
MNIST Imbalanced 1+7,No Oversampling,Support Vector,0.9906329121386022,83.34060497109526,0.9948604992657857
MNIST Imbalanced 7+8,No Oversampling,Gradient Boosting,0.9791955918083998,,0.9886455798864557
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.9760310255338589,,0.9870235198702352
MNIST Imbalanced 7+8,No Oversampling,Random Forest,0.9674376506515832,99.8882067182108,0.9821573398215734
MNIST Imbalanced 7+8,No Oversampling,Support Vector,0.9687307155839215,29.496473887102294,0.9829683698296837
